date,amount,category,description
01-07-2026,1000,Income,Salary
02-07-2026,50,Expense,Groceries
03-07-2026,150,Expense,Utilities
04-07-2026,200,Income,Freelance Work
05-07-2026,75,Expense,Restaurant
06-07-2026,100,Expense,Transport
07-07-2026,500,Income,Bonus
08-07-2026,30,Expense,Snacks
09-07-2026,250,Income,Stock Dividends
10-07-2026,90,Expense,Entertainment
11-07-2026,60,Expense,Coffee
12-07-2026,120,Expense,Gas
13-07-2026,80,Expense,Books
14-07-2026,150,Expense,Clothing
15-07-2026,1100,Income,Salary
16-07-2026,40,Expense,Stationery
17-07-2026,180,Expense,Utilities
18-07-2026,250,Income,Freelance Work
19-07-2026,70,Expense,Restaurant
20-07-2026,130,Expense,Transport
21-07-2026,600,Income,Bonus
22-07-2026,35,Expense,Snacks
23-07-2026,300,Income,Stock Dividends
24-07-2026,100,Expense,Entertainment
25-07-2026,55,Expense,Coffee
26-07-2026,140,Expense,Gas
27-07-2026,90,Expense,Books
28-07-2026,170,Expense,Clothing
29-07-2026,1200,Income,Salary
30-07-2026,45,Expense,Stationery
31-07-2026,190,Expense,Utilities
20-07-2023,124.0,Expense,Groceries
16-04-2026,2000.0,Expense,groceries
16-04-2026,9000.0,Expense,groceries
16-04-2026,11000.0,Expense,Rent
